Rk,Player,Pos,Team,WinPct,Age,G,MP,PER,Ts_pct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
46,Kirk Hinrich,SG,CHI,0.594,34,57,1445,6.8,0.459,0.44,0.139,1.5,6.7,4.1,14.3,1.5,0.6,15.2,13.7,-0.3,1.1,0.8,0.025,-2.3,-0.7,-3,-0.4
47,Taj Gibson,PF,CHI,0.594,29,49,1377,15.9,0.533,0,0.362,11.1,14.3,12.8,7.5,1,3.1,11.1,17.8,2.2,1.6,3.7,0.13,-0.5,0.9,0.5,0.9
48,Pau Gasol,PF,CHI,0.594,34,65,2259,22.4,0.55,0.021,0.311,9.2,27.9,18.8,14.4,0.5,4,11.2,24.3,4.9,3.6,8.5,0.181,0.7,2.1,2.7,2.7
49,Mike Dunleavy,SF,CHI,0.594,34,50,1460,11.1,0.574,0.566,0.164,1.5,12.4,7.1,9.3,0.8,0.9,10.1,13.6,1.9,1.2,3.1,0.101,0.5,-0.5,0,0.7
50,Jimmy Butler,SG,CHI,0.594,25,55,2141,21.2,0.582,0.215,0.5,5.1,11.3,8.3,14.3,2.3,1.1,7.9,21.7,6.9,2.4,9.3,0.209,4.1,0.6,4.7,3.6
51,Aaron Brooks,PG,CHI,0.594,30,69,1496,14.3,0.534,0.376,0.226,1.7,7.5,4.6,24,1.4,0.6,14.9,25.8,1.3,1.1,2.4,0.078,0.9,-2.9,-2,0
53,Cody Zeller,C,CHO,0.439,22,61,1468,14.2,0.534,0.003,0.438,7.1,20,13.4,10.5,1.2,2.6,12.3,15.6,1.7,2.2,3.9,0.127,-1.9,2.6,0.7,1
54,Marvin Williams,PF,CHO,0.439,28,62,1544,11.4,0.547,0.554,0.164,3,17.7,10.2,7.5,1.8,1.3,11.1,13.2,1,2.2,3.2,0.101,-0.8,1.8,1,1.2
55,Kemba Walker,PG,CHO,0.439,24,46,1589,18,0.497,0.298,0.295,2,10.1,6,26.5,1.9,1.3,8.5,26,1.7,2,3.7,0.112,2.6,0.1,2.7,1.9
56,Noah Vonleh,PF,CHO,0.439,19,15,107,15,0.499,0.179,0.571,12.1,21.2,16.5,2.9,1,4.4,12.5,17,0.1,0.2,0.3,0.116,-3.9,0.5,-3.4,0
57,Jeffery Taylor,SF,CHO,0.439,25,17,154,8.6,0.452,0.346,0.385,4.2,11.8,7.9,8.5,2,0.5,12.9,20.7,-0.2,0.2,0,0.007,-3.8,-0.8,-4.6,-0.1
58,Lance Stephenson,SG,CHO,0.439,24,52,1438,9,0.417,0.195,0.209,2.8,17.3,9.9,26,1.2,0.4,17.7,20.9,-2.3,1.7,-0.6,-0.021,-3.7,0.8,-2.8,-0.3
59,Brian Roberts,PG,CHO,0.439,29,63,1196,11,0.493,0.413,0.159,1,7.9,4.3,19.7,1,0.4,10.6,18,0.5,1,1.5,0.06,-1.1,-1.8,-2.8,-0.3
60,Jannero Pargo,PG,CHO,0.439,35,9,73,14.9,0.571,0.629,0.057,0,4.7,2.3,20.6,0,0,7.7,24.3,0.1,0,0.2,0.115,3,-6,-2.9,0
61,Jason Maxiell,PF,CHO,0.439,31,47,661,10.3,0.462,0,0.444,9.6,12.9,11.2,2.1,0.9,4.6,10.4,13.2,0.1,0.9,1.1,0.078,-4.6,1.7,-2.9,-0.1
62,Michael Kidd-Gilchrist,SF,CHO,0.439,21,50,1424,15.2,0.518,0,0.459,7.4,21.9,14.5,8.5,1,1.7,9.8,18.6,1.5,2,3.5,0.117,-2,1.4,-0.6,0.5
63,Al Jefferson,C,CHO,0.439,30,56,1748,20.1,0.503,0.004,0.17,5.3,26,15.4,11.4,1.2,3.2,5.5,26.4,1.4,3.1,4.5,0.123,-1,1.6,0.6,1.1
64,Gerald Henderson,SG,CHO,0.439,27,64,1821,13.3,0.516,0.171,0.269,1.7,11.1,6.3,16.7,1.1,0.8,10.9,20.1,1.3,1.8,3.1,0.082,-1,-0.1,-1.1,0.4
65,P.J. Hairston,SG,CHO,0.439,22,35,525,8.7,0.442,0.632,0.094,3.1,12.1,7.5,5,1.6,1.9,7.1,20.6,-0.5,0.7,0.2,0.019,-2.2,-1,-3.2,-0.2
66,Bismack Biyombo,C,CHO,0.439,22,48,840,15.5,0.582,0,0.947,15.3,22.8,19,1.7,0.7,6.1,17.4,12.2,1.3,1.5,2.8,0.159,-2.9,2.4,-0.6,0.3
67,Anderson Varejao,C,CLE,0.629,32,26,636,17.8,0.58,0.01,0.225,10.4,20,15.3,9.1,1.6,2,13.7,18.1,1.2,0.7,1.9,0.144,0,0.9,0.9,0.5
68,Tristan Thompson,PF,CLE,0.629,23,70,1928,15.8,0.581,0,0.484,14.8,18.5,16.7,2.7,0.8,2.3,11.7,14,4.3,1.7,6,0.15,0.1,-0.3,-0.2,0.9
69,Mike Miller,SF,CLE,0.629,34,45,615,4.4,0.461,0.86,0.02,0.8,14.1,7.5,8.7,1.1,0.4,16.5,8.9,-0.1,0.4,0.3,0.022,-2.6,-0.3,-3,-0.2
70,Shawn Marion,SF,CLE,0.629,36,52,1012,11.1,0.496,0.178,0.141,6.2,13.8,10.1,6.9,1.3,2,9.9,12.7,0.8,0.8,1.6,0.076,-1.8,0.7,-1.1,0.2
71,Kevin Love,PF,CLE,0.629,26,65,2228,19.2,0.559,0.403,0.363,6.7,26.9,17,11.1,1,1.1,9.5,21.7,5.4,2.5,7.9,0.171,2.2,-0.1,2,2.3
72,Alex Kirk,C,CLE,0.629,23,5,14,8.5,0.41,0,0.5,8.3,0,4.1,10.1,0,0,0,15.7,0,0,0,0.059,-3,-4.4,-7.4,0
73,James Jones,SF,CLE,0.629,34,46,542,11.6,0.584,0.901,0.179,1.3,10.4,5.9,5.8,1,0.9,6.4,15.5,1,0.3,1.3,0.112,1.7,-2.7,-1,0.1
74,LeBron James,SF,CLE,0.629,30,59,2137,26,0.581,0.268,0.427,2.1,15.6,9,38.5,2.2,1.5,15.6,32.8,6.5,2.3,8.7,0.196,6.3,0.7,7,4.9
75,Kyrie Irving,PG,CLE,0.629,22,65,2405,21.8,0.588,0.306,0.302,2.1,7.6,4.9,24.9,2.1,0.6,11.2,25.7,7.9,1.5,9.4,0.188,5,-1.5,3.4,3.3
76,Brendan Haywood,C,CLE,0.629,35,21,104,8.3,0.478,0,0.37,6.7,23.8,15.4,2.9,1,6.1,24.2,18,-0.2,0.2,0,-0.01,-8.4,1.1,-7.2,-0.1
77,Joe Harris,SG,CLE,0.629,23,47,434,6.4,0.547,0.728,0.126,1.6,7.5,4.6,7.4,0.8,0.2,14.9,13.3,0.2,0.1,0.3,0.035,-1.3,-2.6,-3.9,-0.2
78,Matthew Dellavedova,SG,CLE,0.629,24,55,1115,7.4,0.472,0.55,0.143,3.3,7.3,5.3,19.1,0.9,0.1,16.2,12.2,0.8,0.3,1.1,0.049,-1,-1.9,-2.9,-0.3
79,Will Cherry,PG,CLE,0.629,23,8,69,5.8,0.347,0.474,0.316,1.7,6.5,4.2,16.3,4.5,1.1,15.6,16.8,-0.1,0.1,0,-0.024,-4.3,0.6,-3.7,0
80,Charlie Villanueva,PF,DAL,0.638,30,51,541,17.6,0.545,0.617,0.11,4.7,20.2,12.4,4.1,0.9,2.5,7.8,26.6,0.5,0.6,1.1,0.097,0.9,-3.4,-2.4,-0.1
81,Greg Smith,PF,DAL,0.638,24,40,355,10.6,0.614,0,0.771,8,16.5,12.2,3.5,1,2.5,14.6,9.5,0.5,0.3,0.9,0.116,-1.9,1,-0.9,0.1
82,Chandler Parsons,SF,DAL,0.638,26,59,1944,16.6,0.571,0.428,0.229,3.4,12.8,8.1,11.2,1.6,0.7,9.2,20.6,3.7,1.6,5.2,0.129,2.9,-0.3,2.6,2.3
83,Dirk Nowitzki,PF,DAL,0.638,36,65,1914,19.7,0.559,0.263,0.257,2.2,19.9,11,10.5,0.9,1.2,6.1,25.3,4.5,1.8,6.3,0.158,1.7,-1.1,0.6,1.3
84,Ricky Ledo,SG,DAL,0.638,22,5,11,-22.7,0.073,0.5,0.333,10,10,10,11.2,0,0,22.5,36.3,-0.2,0,-0.2,-0.721,-20.9,-5.5,-26.4,-0.1
85,Richard Jefferson,SF,DAL,0.638,34,63,1049,11,0.57,0.487,0.341,2.4,14.8,8.6,6.9,1.3,0.8,12.3,14.6,1,0.9,1.9,0.087,-0.5,-0.3,-0.8,0.3
86,Bernard James,C,DAL,0.638,29,9,106,17.2,0.662,0,0.933,12.4,14.6,13.5,5.1,0,7.6,12.4,10.2,0.3,0.1,0.4,0.196,0,3,3,0.1
87,Devin Harris,PG,DAL,0.638,31,65,1459,15.3,0.553,0.535,0.3,0.9,8.4,4.6,21.2,2.4,0.7,11.7,18.2,2.7,1.2,3.9,0.13,2.2,-0.7,1.5,1.3
88,Raymond Felton,PG,DAL,0.638,30,19,130,9.6,0.381,0.265,0.163,0,9.3,4.7,25.3,2,1.9,11.8,20.6,-0.2,0.1,0,-0.016,-4.4,-1.1,-5.6,-0.1
89,Monta Ellis,SG,DAL,0.638,29,69,2327,17.4,0.513,0.217,0.224,1.5,6.4,3.9,21.6,2.9,0.8,11.6,28.2,1.8,2.1,3.9,0.081,1,-0.7,0.3,1.4
90,Tyson Chandler,C,DAL,0.638,32,63,1931,20.3,0.703,0,0.569,14.2,26.8,20.5,5.3,1,3.4,16.2,12.7,6.2,2.7,8.9,0.222,2,2.5,4.6,3.2
91,Jose Barea,PG,DAL,0.638,30,68,1197,15.6,0.508,0.318,0.174,2,9.5,5.7,29.5,1.3,0.1,11,21.1,2,0.7,2.7,0.106,1.2,-2.3,-1.1,0.3
92,Al-Farouq Aminu,SF,DAL,0.638,24,61,1045,15.1,0.516,0.368,0.295,8.3,18.5,13.4,5.6,2.9,4,11.8,15.7,1,1.7,2.7,0.125,-0.5,3,2.5,1.2
93,Jusuf Nurkic,C,DEN,0.382,20,48,864,15.6,0.475,0.003,0.321,11.8,27.9,19.6,7.7,2.4,5.4,15.2,20.8,-0.1,1.6,1.5,0.082,-3.7,3.8,0,0.4
94,Ty Lawson,PG,DEN,0.382,27,63,2263,19.3,0.535,0.231,0.409,1.7,8.2,4.8,44,1.8,0.2,14.1,20.9,5.6,1.1,6.8,0.143,3.4,-1.9,1.5,2
95,Joffrey Lauvergne,C,DEN,0.382,23,13,162,6.6,0.374,0.207,0.293,12.2,18.5,15.3,3.8,1.9,2.9,18.6,21.6,-0.4,0.2,-0.3,-0.077,-6.9,0,-6.9,-0.2
96,J.J. Hickson,C,DEN,0.382,26,60,1165,14.5,0.503,0.005,0.466,10.8,24.9,17.6,7,1.1,2.1,14.6,20.1,0.4,1.2,1.6,0.067,-3.2,0.6,-2.6,-0.2
97,Gary Harris,SG,DEN,0.382,20,41,526,3.7,0.356,0.488,0.201,3.2,7.6,5.3,6.1,3.1,0.9,14.8,17.3,-1.3,0.5,-0.8,-0.073,-5.1,0.5,-4.6,-0.3
98,Erick Green,PG,DEN,0.382,23,30,235,8.6,0.441,0.276,0.092,0.9,7.1,3.9,13.3,1.5,0,8.9,20.7,-0.2,0.1,-0.1,-0.014,-3.5,-2.7,-6.3,-0.3
99,Danilo Gallinari,SF,DEN,0.382,26,49,1105,14.8,0.539,0.535,0.334,2.4,14.1,8.1,8.6,1.5,0.8,8.2,21,1.7,0.8,2.5,0.108,1.3,-1.2,0.1,0.6
100,Randy Foye,SG,DEN,0.382,31,38,716,9.8,0.493,0.621,0.149,0.4,7.1,3.7,17.3,1.4,1.1,12.6,19.3,0.1,0.3,0.4,0.03,-0.4,-1.9,-2.3,-0.1
101,Kenneth Faried,PF,DEN,0.382,25,62,1716,17.6,0.539,0.012,0.373,11.4,23.4,17.2,7.4,1.3,2.3,12.2,19.7,2.5,1.9,4.4,0.122,-0.7,1.3,0.6,1.1
102,Wilson Chandler,SF,DEN,0.382,27,64,2014,12.7,0.519,0.426,0.13,4,16.7,10.1,8.3,1.1,1,10.1,20.2,1.2,1.4,2.6,0.063,0.2,-0.3,-0.1,0.9
103,Darrell Arthur,PF,DEN,0.382,26,55,951,12.2,0.475,0.281,0.158,5.7,13.1,9.3,9.3,2.5,2.1,10.5,20.4,0,1,1,0.052,-1.5,0.9,-0.6,0.3
104,Greg Monroe,PF,DET,0.353,24,64,1991,21.1,0.548,0,0.396,11.2,25.7,18.1,11.8,1.7,1.2,13.4,23.9,3.6,2.5,6.1,0.147,0.5,1.2,1.7,1.9
105,Jodie Meeks,SG,DET,0.353,27,46,1124,14,0.532,0.394,0.319,0.8,7,3.7,9.8,2.3,0.3,8.6,20.8,1.5,0.8,2.3,0.099,0.5,-1.5,-1,0.3
106,Cartier Martin,SF,DET,0.353,30,20,187,0.9,0.333,0.646,0,0,12.1,5.8,7,0.6,0.4,9.4,12.5,-0.3,0.1,-0.2,-0.06,-5.8,-1.5,-7.3,-0.3
107,John Lucas,PG,DET,0.353,32,12,140,14.9,0.472,0.32,0.04,1.5,3.2,2.3,41.8,1.8,0,10.5,17.9,0.3,0.1,0.3,0.11,0,-5.4,-5.5,-0.1
108,Brandon Jennings,PG,DET,0.353,25,41,1173,19.7,0.522,0.389,0.263,1.8,8,4.8,40.6,1.9,0.3,12.9,26.1,2.6,0.8,3.3,0.136,4.4,-2.4,2,1.2
109,Andre Drummond,C,DET,0.353,21,68,2043,20.6,0.494,0.001,0.367,18.2,30.1,23.9,3.4,1.6,4.7,10.1,21.5,2.2,3.5,5.7,0.135,-1.8,1.1,-0.7,0.7
110,Spencer Dinwiddie,PG,DET,0.353,21,28,372,9.2,0.392,0.416,0.182,0.8,11,5.7,32.4,1.7,0.8,14.5,20.5,-0.3,0.3,0,0,-2.8,-1.9,-4.7,-0.3
111,Kentavious Caldwell-Pope,SG,DET,0.353,21,68,2111,10.8,0.496,0.462,0.161,1.9,9,5.3,6.5,1.8,0.7,8.4,19.2,0.7,1.4,2.1,0.048,-0.4,-0.8,-1.2,0.4
112,Caron Butler,SF,DET,0.353,34,64,1320,8.4,0.507,0.535,0.157,1.6,12.7,6.9,6.7,1.4,0.2,9.6,12.8,0.7,0.9,1.5,0.056,-1.7,-0.3,-2.1,0
113,Joel Anthony,C,DET,0.353,32,36,238,13.5,0.574,0,0.35,9.1,16.7,12.7,1.9,1.1,8.3,13.2,9.8,0.3,0.4,0.6,0.128,-3.7,3.6,0,0.1
114,Klay Thompson,SG,GSW,0.806,24,64,2082,20.6,0.591,0.418,0.201,1.1,9.2,5.3,14.6,1.7,1.9,9.9,27.6,4.6,2.7,7.3,0.169,3.4,-0.9,2.5,2.4
115,Marreese Speights,PF,GSW,0.806,27,61,1018,19.3,0.546,0.022,0.288,10.2,18.3,14.4,9,0.7,2.3,10.2,29,1.8,1.5,3.3,0.157,-1.6,-1.5,-3.1,-0.3
116,Brandon Rush,SG,GSW,0.806,29,27,215,0.7,0.218,0.513,0.128,1,15.4,8.5,6.7,0.7,4.1,19.5,10.4,-0.6,0.3,-0.3,-0.062,-8.5,2.5,-6,-0.2
117,James Michael McAdoo,PF,GSW,0.806,22,7,57,21.5,0.583,0,0.65,15.6,14.5,15.1,2.6,1.7,5.2,7.2,21.2,0.2,0.1,0.3,0.239,-0.3,-0.1,-0.4,0
118,Shaun Livingston,PG,GSW,0.806,29,65,1198,13.7,0.543,0.006,0.213,3.3,10.1,6.8,24.8,1.6,1.2,18.6,16,1.5,1.5,3,0.12,-1.8,0.4,-1.4,0.2
119,David Lee,PF,GSW,0.806,31,39,729,19.1,0.544,0.008,0.349,9.9,21,15.7,15.1,1.9,2.5,11.7,19.9,1.5,1.4,2.9,0.188,-0.3,2.5,2.2,0.8
120,Ognjen Kuzmic,C,GSW,0.806,24,16,72,12.9,0.727,0,0.333,10.8,14.4,12.7,11.1,1.4,1,26.7,11.3,0.2,0.1,0.3,0.173,-0.3,1,0.7,0
121,Andre Iguodala,SG,GSW,0.806,31,63,1706,12.5,0.561,0.419,0.233,2.5,10.9,6.9,14.6,2.3,0.9,14.5,12.9,1.9,2.5,4.4,0.123,0.1,1.7,1.9,1.7
122,Justin Holiday,SG,GSW,0.806,25,46,502,12.3,0.496,0.486,0.182,2.2,9.9,6.2,9.9,3.1,1.3,10.1,18.9,0.1,0.8,1,0.092,-1.4,0.4,-1,0.1
123,Draymond Green,SF,GSW,0.806,24,67,2140,16.5,0.543,0.44,0.257,5,21.8,13.7,15.5,2.5,3.1,13.4,17.1,2.8,4.6,7.4,0.167,1,4.1,5.1,3.8
124,Festus Ezeli,C,GSW,0.806,25,33,357,14.2,0.577,0,0.48,11.5,18.8,15.3,2.4,0.8,6.4,19.1,17.9,0.3,0.7,1,0.128,-4.2,1.5,-2.7,-0.1
125,Stephen Curry,PG,GSW,0.806,26,65,2144,27.5,0.627,0.477,0.262,2.3,11.6,7.1,38.8,3.2,0.5,14.4,28.7,9,3.6,12.6,0.282,8.9,0.5,9.5,6.2
126,Andrew Bogut,C,GSW,0.806,30,52,1238,15.1,0.556,0,0.14,9.2,26.6,18.2,14.7,1.3,5.2,22.7,13.1,1.2,2.7,3.9,0.15,-2,5.4,3.5,1.7
127,Harrison Barnes,SF,GSW,0.806,22,67,1937,13.3,0.581,0.338,0.232,5.9,14.7,10.5,6.6,1.2,0.5,9.5,14.7,3.2,2.5,5.6,0.14,0.6,0.4,1,1.4
128,Leandro Barbosa,SG,GSW,0.806,32,53,734,14.7,0.551,0.291,0.193,2.9,5.9,4.5,13.7,1.9,0.5,9.5,21.7,1.1,0.8,1.9,0.125,0,-1.8,-1.8,0
129,Jason Terry,SG,HOU,0.672,37,63,1307,11.5,0.569,0.73,0.112,1.2,7.1,4.1,14.2,2.3,0.8,14,14.4,1.5,1.4,2.9,0.106,0.2,-0.4,-0.2,0.6
130,Kostas Papanikolaou,SF,HOU,0.672,24,41,778,8.2,0.448,0.533,0.092,5.4,11,8.2,16,1.9,1.3,20.4,14.2,-0.3,0.9,0.6,0.039,-2.8,0.9,-1.8,0
131,Donatas Motiejunas,PF,HOU,0.672,24,67,1887,14.3,0.549,0.19,0.244,7.6,15.8,11.7,10.4,1.3,1.3,13.4,19.1,2.2,2.2,4.4,0.112,-0.8,0.5,-0.3,0.8
132,Terrence Jones,PF,HOU,0.672,23,24,679,18.4,0.554,0.117,0.301,10.2,19.2,14.6,5.3,1.1,4.7,8.8,18.9,1.2,1,2.3,0.161,-1.1,1.4,0.3,0.4
133,Nick Johnson,SG,HOU,0.672,22,20,191,5.6,0.444,0.315,0.333,4,11.1,7.5,5.5,1.8,0.8,16.2,16.8,-0.2,0.2,0,0.006,-5.7,-0.8,-6.4,-0.2
134,Dwight Howard,C,HOU,0.672,29,32,1029,18.1,0.582,0.006,0.632,9.6,28.2,18.8,7.7,1,3.4,17.9,23,0.9,1.8,2.7,0.126,-2.7,1.5,-1.3,0.2
135,James Harden,SG,HOU,0.672,25,66,2425,26.5,0.603,0.374,0.547,2.8,14.8,8.7,35,2.6,1.6,15.3,30.9,9.6,3.6,13.3,0.262,7.2,1.2,8.4,6.4
136,Francisco Garcia,SF,HOU,0.672,33,14,200,3.6,0.347,0.714,0.063,1.6,7.8,4.7,11.1,2.2,2,13.4,16.2,-0.4,0.2,-0.2,-0.04,-5.1,0,-5.1,-0.2
137,Joey Dorsey,PF,HOU,0.672,31,54,606,11.5,0.508,0,0.462,14.5,21.8,18.1,3.9,2.6,2.8,19.9,11.2,0.3,1.1,1.4,0.113,-3.5,2.6,-0.9,0.2
138,Clint Capela,C,HOU,0.672,20,6,20,-22.5,0,0,0.8,16.4,27.8,22.1,6.6,2.5,3.9,18.2,35.8,-0.4,0,-0.3,-0.741,-28,-0.8,-28.8,-0.1
139,Patrick Beverley,PG,HOU,0.672,26,53,1641,11.3,0.503,0.609,0.114,4.3,11.2,7.8,17.1,1.7,1,12.4,16.2,1.6,1.8,3.4,0.099,0.5,0.5,1,1.2
140,Trevor Ariza,SF,HOU,0.672,29,67,2384,12.2,0.521,0.606,0.149,3,13.9,8.4,10.9,2.6,0.4,12.3,16.6,1.8,3.2,5,0.101,0.3,1.3,1.5,2.1
141,Shayne Whittington,PF,IND,0.448,23,20,108,20,0.547,0.143,0.548,10.3,19.2,14.8,9.6,2.4,1.5,8.8,23.9,0.3,0.2,0.5,0.202,0.5,0.1,0.6,0.1
142,David West,PF,IND,0.448,34,52,1518,16.3,0.509,0.03,0.193,6.5,20.1,13.4,19.9,1.4,2.1,13.9,21.4,1,2.4,3.4,0.107,-0.7,2.7,2,1.5
143,C.J. Watson,PG,IND,0.448,30,48,1212,14.4,0.574,0.417,0.379,1.4,10.7,6.1,23,1.8,0.5,17.5,18.4,1.6,1.5,3.1,0.122,0.8,0,0.8,0.8
