id,log_feature,volume
11833,feature 134,1
11833,feature 219,1
402,feature 219,1
402,feature 134,1
1288,feature 219,1
1288,feature 134,1
16595,feature 134,1
16595,feature 219,1
18413,feature 219,1
18413,feature 134,1
9859,feature 134,1
9859,feature 219,1
2578,feature 134,1
2578,feature 219,1
1204,feature 134,1
1204,feature 219,1
4497,feature 134,1
4497,feature 219,1
37,feature 134,1
3629,feature 219,1
3629,feature 134,1
16795,feature 68,1
16106,feature 54,1
16106,feature 170,1
16106,feature 68,1
8185,feature 170,1
8185,feature 54,1
8235,feature 219,1
8235,feature 206,1
8235,feature 15,2
8235,feature 134,1
8235,feature 182,1
8235,feature 170,3
8235,feature 149,2
14315,feature 170,1
17756,feature 54,1
17756,feature 170,1
14562,feature 54,2
14562,feature 170,1
8930,feature 182,1
8930,feature 62,1
11231,feature 182,1
17812,feature 54,2
3112,feature 54,2
3112,feature 170,1
6253,feature 201,2
6253,feature 80,2
187,feature 80,2
10816,feature 201,1
10816,feature 80,2
2008,feature 201,2
2008,feature 80,3
10445,feature 201,1
258,feature 80,1
258,feature 201,2
15834,feature 201,1
15834,feature 80,1
12334,feature 201,3
12334,feature 80,3
9644,feature 201,2
9644,feature 80,2
14743,feature 80,2
14743,feature 201,2
6208,feature 201,3
6208,feature 80,2
6802,feature 80,1
14860,feature 80,1
14860,feature 201,1
14899,feature 201,1
14899,feature 80,2
581,feature 80,1
10985,feature 201,1
10985,feature 80,1
11010,feature 134,1
11010,feature 219,1
722,feature 201,1
722,feature 80,2
1747,feature 201,2
1747,feature 80,1
1349,feature 201,1
1349,feature 80,2
11444,feature 80,2
11444,feature 201,3
16517,feature 80,4
16517,feature 201,4
16202,feature 80,1
16202,feature 201,1
12511,feature 201,1
12511,feature 80,1
15171,feature 201,2
15171,feature 80,2
3879,feature 63,2
3879,feature 183,2
1863,feature 80,2
5142,feature 80,2
5142,feature 201,2
6796,feature 80,2
13838,feature 80,2
13838,feature 201,2
10913,feature 80,1
10913,feature 201,1
6880,feature 201,4
6880,feature 111,1
6880,feature 80,5
685,feature 111,2
685,feature 80,5
685,feature 201,5
10680,feature 2,1
10680,feature 80,2
10680,feature 137,1
10680,feature 201,3
13845,feature 82,1
17736,feature 203,1
17736,feature 82,1
10319,feature 80,1
10319,feature 201,1
10970,feature 201,1
10970,feature 80,1
13652,feature 80,2
10161,feature 80,1
725,feature 80,3
725,feature 201,2
5074,feature 80,2
5924,feature 80,1
10516,feature 183,1
6883,feature 201,1
6883,feature 80,2
5545,feature 201,1
5545,feature 80,3
14433,feature 82,5
14433,feature 203,3
18058,feature 172,1
18058,feature 82,4
18058,feature 203,4
18058,feature 56,1
5834,feature 80,1
5834,feature 201,1
4630,feature 384,1
4630,feature 203,1
4630,feature 71,2
4630,feature 82,2
4630,feature 193,2
4630,feature 299,1
17414,feature 80,1
17414,feature 203,2
17414,feature 82,4
6244,feature 203,1
6244,feature 80,3
6244,feature 201,1
6244,feature 82,4
3158,feature 82,4
3158,feature 203,3
16320,feature 203,2
16320,feature 82,3
3465,feature 82,4
3465,feature 203,4
13490,feature 82,3
13490,feature 203,2
4628,feature 71,2
4628,feature 193,2
4628,feature 203,2
4628,feature 82,2
4029,feature 203,3
4029,feature 82,4
4029,feature 80,1
15057,feature 82,5
15057,feature 203,2
13522,feature 203,2
13522,feature 82,3
5254,feature 82,2
5254,feature 201,2
5254,feature 203,2
5254,feature 80,2
14991,feature 80,3
14991,feature 82,4
14991,feature 203,2
14991,feature 201,2
2810,feature 82,3
2810,feature 203,1
5025,feature 82,3
5025,feature 203,2
5025,feature 193,1
5025,feature 71,1
14112,feature 71,2
14112,feature 203,2
14112,feature 193,1
14112,feature 82,3
5352,feature 82,3
5352,feature 203,3
7049,feature 80,2
7049,feature 82,3
7049,feature 201,2
7049,feature 203,3
17758,feature 384,1
17758,feature 299,1
17758,feature 82,1
11766,feature 203,4
11766,feature 201,2
11766,feature 82,4
11766,feature 80,2
1574,feature 203,2
1574,feature 201,1
1574,feature 80,1
1574,feature 82,3
7237,feature 82,3
7237,feature 203,3
10902,feature 82,3
10902,feature 203,2
9016,feature 203,4
9016,feature 82,4
13955,feature 80,2
13955,feature 203,4
13955,feature 82,5
13955,feature 201,2
11005,feature 201,1
11005,feature 80,1
11005,feature 82,4
11005,feature 203,3
16584,feature 203,4
16584,feature 80,1
16584,feature 82,5
16584,feature 201,1
8277,feature 82,4
8277,feature 203,3
15081,feature 82,4
15081,feature 203,3
15081,feature 80,2
15081,feature 201,2
18220,feature 203,4
18220,feature 80,1
18220,feature 201,1
18220,feature 82,4
4595,feature 203,2
4595,feature 82,2
1666,feature 82,1
7585,feature 203,1
7585,feature 82,2
4309,feature 71,1
16809,feature 82,3
16809,feature 203,2
2385,feature 203,2
2385,feature 82,1
16139,feature 82,4
16139,feature 203,3
7077,feature 203,2
7077,feature 82,3
7077,feature 80,2
11828,feature 82,4
11828,feature 203,2
2774,feature 203,2
2774,feature 82,2
11037,feature 80,1
11037,feature 201,1
11037,feature 82,2
11037,feature 203,2
11464,feature 82,2
11464,feature 201,1
11464,feature 80,1
11464,feature 203,2
15801,feature 82,4
15801,feature 203,4
15801,feature 80,2
12847,feature 82,3
12847,feature 203,3
4002,feature 80,3
4002,feature 201,3
4002,feature 82,4
4002,feature 203,3
11100,feature 82,4
11100,feature 203,3
10511,feature 203,4
10511,feature 82,5
14706,feature 219,1
14706,feature 203,2
14706,feature 134,1
14706,feature 82,2
462,feature 71,1
462,feature 80,2
462,feature 193,1
462,feature 82,3
462,feature 203,3
462,feature 201,2
7885,feature 299,2
7885,feature 71,3
7885,feature 82,2
7885,feature 203,1
7885,feature 193,4
7885,feature 384,2
12276,feature 80,1
12276,feature 201,1
12276,feature 82,3
12276,feature 203,2
12276,feature 71,1
10402,feature 203,4
10402,feature 82,5
10402,feature 80,3
10402,feature 201,3
3412,feature 203,3
3412,feature 82,4
6860,feature 203,1
6860,feature 82,2
11114,feature 203,1
11114,feature 82,1
9907,feature 80,1
9907,feature 201,1
9907,feature 82,1
4121,feature 201,1
4121,feature 82,4
4121,feature 80,1
4121,feature 203,2
10493,feature 80,4
10493,feature 82,2
10493,feature 201,4
10493,feature 203,2
11770,feature 82,4
11770,feature 203,2
11770,feature 80,2
11770,feature 201,2
965,feature 80,3
965,feature 201,4
965,feature 203,3
965,feature 82,3
18004,feature 82,2
5928,feature 203,2
5928,feature 201,2
5928,feature 82,2
5928,feature 80,2
7405,feature 193,1
7405,feature 82,4
7405,feature 385,1
7405,feature 201,1
7405,feature 80,2
7405,feature 203,3
6803,feature 82,2
6803,feature 80,1
8764,feature 203,2
8764,feature 82,4
7925,feature 82,5
7925,feature 203,2
7925,feature 201,1
7925,feature 80,2
12798,feature 82,4
11394,feature 68,1
11394,feature 80,1
11394,feature 82,4
11394,feature 203,4
17869,feature 82,3
17869,feature 203,2
10129,feature 82,1
10129,feature 80,1
13354,feature 203,3
13354,feature 82,4
16917,feature 80,1
16917,feature 82,1
17425,feature 201,3
17425,feature 80,3
17425,feature 203,3
17425,feature 82,5
18486,feature 80,3
18486,feature 82,3
18486,feature 201,1
18486,feature 203,1
6909,feature 203,4
6909,feature 82,4
12026,feature 80,1
12026,feature 82,1
16064,feature 82,3
16064,feature 203,2
11119,feature 82,3
11119,feature 203,2
8378,feature 82,3
8378,feature 80,3
8378,feature 201,2
894,feature 82,1
894,feature 80,2
6648,feature 80,2
372,feature 201,1
372,feature 82,1
372,feature 80,1
17066,feature 82,4
821,feature 80,1
821,feature 82,4
821,feature 203,1
608,feature 82,3
608,feature 203,1
608,feature 80,1
4535,feature 82,4
4535,feature 80,1
4640,feature 201,1
4640,feature 82,3
4640,feature 203,2
4640,feature 80,2
18296,feature 80,1
18296,feature 82,2
6904,feature 82,2
6904,feature 80,1
5059,feature 80,1
5059,feature 201,1
15102,feature 82,4
15102,feature 203,3
15102,feature 80,2
11286,feature 82,3
13438,feature 201,1
13438,feature 80,1
13438,feature 82,2
7851,feature 82,5
7851,feature 80,4
7851,feature 203,2
7851,feature 201,2
16336,feature 82,2
17470,feature 82,2
17470,feature 80,1
17470,feature 203,1
8388,feature 80,1
8388,feature 203,2
8388,feature 82,3
8388,feature 201,1
4141,feature 203,1
4141,feature 82,3
4163,feature 80,2
4163,feature 82,3
13077,feature 82,2
13077,feature 80,2
15343,feature 71,2
15343,feature 203,4
15343,feature 80,1
15343,feature 193,2
15343,feature 82,5
6475,feature 203,4
6475,feature 71,2
6475,feature 193,1
6475,feature 82,5
12214,feature 82,3
12214,feature 80,1
12214,feature 203,2
6623,feature 203,1
6623,feature 82,4
6623,feature 80,1
1551,feature 203,1
1551,feature 80,2
1551,feature 82,4
13260,feature 82,4
13260,feature 203,4
12932,feature 80,1
12932,feature 82,2
4556,feature 82,5
8556,feature 80,1
8556,feature 82,4
8556,feature 203,2
14449,feature 80,2
14449,feature 82,2
14449,feature 201,1
14449,feature 203,2
18376,feature 203,2
18376,feature 82,5
18376,feature 80,1
17745,feature 80,1
17963,feature 82,2
17963,feature 300,1
17963,feature 80,1
17963,feature 386,1
17963,feature 203,1
10014,feature 82,4
10014,feature 201,1
10014,feature 80,2
9879,feature 80,1
9879,feature 82,3
9879,feature 203,2
1718,feature 80,1
1718,feature 203,1
1718,feature 82,3
13376,feature 80,4
13376,feature 201,3
13376,feature 82,1
17645,feature 80,2
17645,feature 201,1
2214,feature 80,1
2214,feature 203,1
2214,feature 82,3
12194,feature 203,1
12194,feature 82,2
12194,feature 80,2
12607,feature 82,3
12607,feature 80,1
12607,feature 203,1
378,feature 82,3
378,feature 203,1
378,feature 201,1
378,feature 80,1
14616,feature 82,3
14616,feature 80,1
14616,feature 203,2
1326,feature 203,3
1326,feature 201,2
1326,feature 82,3
1326,feature 80,2
15085,feature 82,4
15085,feature 203,4
6339,feature 82,4
6339,feature 203,3
4151,feature 82,1
17950,feature 203,3
17950,feature 82,3
17950,feature 201,1
17950,feature 80,1
15427,feature 80,1
200,feature 203,2
200,feature 80,2
200,feature 82,3
18050,feature 80,1
18050,feature 201,1
18050,feature 82,3
3547,feature 201,1
3547,feature 80,1
3547,feature 82,2
3547,feature 203,1
15192,feature 80,2
15192,feature 82,3
13832,feature 80,1
13832,feature 82,3
13832,feature 203,1
2467,feature 201,1
2467,feature 82,4
2467,feature 203,4
2467,feature 80,2
6369,feature 80,1
6369,feature 82,3
6369,feature 203,2
6369,feature 201,1
12887,feature 82,3
12887,feature 201,1
12887,feature 203,2
12887,feature 80,3
8366,feature 80,2
8366,feature 201,2
8366,feature 82,3
8366,feature 203,2
2425,feature 82,1
2425,feature 201,1
2425,feature 183,1
2425,feature 63,1
2425,feature 80,3
8106,feature 82,5
8106,feature 80,2
8106,feature 203,4
8106,feature 201,2
12935,feature 80,2
12935,feature 201,1
12935,feature 82,5
4623,feature 80,2
4623,feature 203,1
4623,feature 201,1
4623,feature 82,4
222,feature 203,1
222,feature 201,1
222,feature 82,2
222,feature 80,2
9059,feature 80,2
15381,feature 203,4
15381,feature 80,2
15381,feature 82,5
13154,feature 80,3
13154,feature 82,5
13154,feature 201,2
665,feature 82,2
665,feature 201,1
665,feature 203,1
665,feature 80,3
10110,feature 201,1
10110,feature 203,4
10110,feature 80,2
10110,feature 82,5
1716,feature 203,2
1716,feature 82,4
1716,feature 80,2
1716,feature 201,1
3951,feature 201,1
3951,feature 80,1
3951,feature 203,1
3951,feature 82,1
17731,feature 80,1
17731,feature 203,3
17731,feature 82,4
16403,feature 82,3
16403,feature 203,2
16403,feature 80,2
8501,feature 82,4
8501,feature 80,2
8501,feature 203,1
15362,feature 82,4
15362,feature 203,2
15362,feature 80,2
9870,feature 201,1
9870,feature 82,2
9870,feature 80,2
9870,feature 203,1
8831,feature 82,5
8831,feature 80,2
5961,feature 80,3
5961,feature 203,2
5961,feature 82,5
9364,feature 82,1
9364,feature 80,1
9364,feature 203,1
18490,feature 82,3
18490,feature 80,2
9088,feature 203,1
9088,feature 201,3
9088,feature 80,5
9088,feature 82,3
2865,feature 73,1
2865,feature 195,1
16514,feature 133,1
18077,feature 132,1
18077,feature 217,1
14,feature 218,1
14,feature 133,1
13453,feature 73,1
12828,feature 195,1
6359,feature 232,1
6359,feature 227,1
6359,feature 312,1
6359,feature 307,1
5881,feature 312,1
5881,feature 232,1
13337,feature 228,1
13337,feature 312,1
13337,feature 308,1
13337,feature 232,1
13337,feature 310,1
13337,feature 230,1
14986,feature 73,3
14986,feature 195,3
12978,feature 73,3
12978,feature 195,2
1553,feature 73,3
1553,feature 109,2
1553,feature 195,3
487,feature 73,4
487,feature 195,4
487,feature 109,2
5559,feature 73,4
5559,feature 195,4
8037,feature 195,2
8037,feature 73,3
5027,feature 109,1
5027,feature 73,4
5027,feature 195,3
15133,feature 195,1
15133,feature 73,2
5068,feature 195,1
5068,feature 73,1
5068,feature 68,1
11826,feature 195,1
11826,feature 73,1
7409,feature 195,2
7409,feature 73,2
13614,feature 42,1
13614,feature 73,1
13614,feature 195,1
13614,feature 157,1
11313,feature 195,1
11313,feature 73,1
8573,feature 195,1
8573,feature 73,1
15618,feature 73,2
15618,feature 195,2
8730,feature 134,1
8730,feature 219,1
2841,feature 195,3
2841,feature 73,3
8263,feature 73,3
8263,feature 195,3
8193,feature 195,2
8193,feature 73,2
5821,feature 195,3
5821,feature 73,3
14864,feature 219,1
14864,feature 195,2
14864,feature 73,1
14864,feature 134,1
7818,feature 73,1
7818,feature 195,1
6636,feature 42,1
6636,feature 73,1
3113,feature 73,1
3113,feature 195,1
15555,feature 195,2
15555,feature 73,3
15974,feature 157,1
13273,feature 195,1
13273,feature 73,2
10465,feature 73,1
1491,feature 42,1
1491,feature 157,1
7546,feature 195,2
7546,feature 73,2
8854,feature 73,1
14462,feature 42,1
14462,feature 73,1
2734,feature 73,2
2734,feature 195,1
6446,feature 195,1
6446,feature 73,2
11239,feature 157,1
11239,feature 195,2
6193,feature 73,1
3765,feature 73,2
12944,feature 195,1
12944,feature 73,2
4302,feature 73,3
16468,feature 73,1
16468,feature 195,1
12624,feature 73,1
17530,feature 195,2
17530,feature 73,2
7503,feature 157,2
7503,feature 73,1
7503,feature 42,2
6457,feature 195,1
6457,feature 73,1
6457,feature 42,1
6457,feature 157,1
16725,feature 42,2
16725,feature 157,2
5029,feature 134,1
5029,feature 219,1
16681,feature 196,1
16681,feature 74,1
11843,feature 196,1
11843,feature 133,1
11843,feature 219,1
11843,feature 74,1
11843,feature 132,1
11843,feature 134,1
6231,feature 74,3
6231,feature 196,3
15803,feature 196,2
15803,feature 132,1
15803,feature 74,2
15803,feature 217,1
13480,feature 74,3
13480,feature 196,3
11928,feature 74,1
8963,feature 74,2
8963,feature 196,2
10844,feature 196,2
10844,feature 74,2
13067,feature 74,2
13067,feature 196,2
9769,feature 74,1
15970,feature 196,1
15970,feature 74,1
6715,feature 74,1
6715,feature 196,1
5206,feature 133,1
16675,feature 74,2
16675,feature 196,2
5468,feature 132,1
5468,feature 217,1
2854,feature 218,1
2854,feature 133,1
8225,feature 196,1
15497,feature 172,1
15497,feature 56,1
10940,feature 134,1
10940,feature 219,1
8120,feature 178,1
8120,feature 68,1
15689,feature 80,2
15689,feature 201,2
5597,feature 201,2
5597,feature 80,2
5597,feature 68,1
4315,feature 80,1
11976,feature 80,1
11976,feature 134,1
11976,feature 201,2
11976,feature 219,1
268,feature 201,1
11609,feature 201,1
15967,feature 273,1
15967,feature 345,1
15967,feature 68,1
15967,feature 179,1
2184,feature 345,1
2184,feature 68,1
2184,feature 170,3
2184,feature 179,1
2184,feature 273,1
2184,feature 222,1
2184,feature 304,1
2184,feature 54,3
17071,feature 306,1
17071,feature 223,1
13185,feature 246,1
13185,feature 170,1
13185,feature 179,2
13185,feature 326,1
13185,feature 68,3
17329,feature 54,1
17329,feature 246,1
17329,feature 170,1
9509,feature 54,1
9509,feature 273,1
9509,feature 170,1
9509,feature 68,1
587,feature 273,1
587,feature 179,2
587,feature 345,1
587,feature 68,3
14586,feature 54,2
14586,feature 170,2
14586,feature 273,2
3967,feature 345,1
3967,feature 68,2
3967,feature 179,1
4941,feature 68,1
4941,feature 170,1
16781,feature 170,2
16781,feature 54,1
16781,feature 273,1
15684,feature 134,1
15684,feature 219,1
525,feature 273,1
525,feature 68,1
525,feature 179,1
17856,feature 54,1
17856,feature 68,1
17856,feature 273,1
6932,feature 273,1
6932,feature 68,2
9787,feature 54,1
9787,feature 87,2
9787,feature 209,2
9787,feature 345,2
9787,feature 273,1
4740,feature 345,2
4740,feature 273,2
4053,feature 170,1
6376,feature 68,1
6376,feature 273,1
6376,feature 170,2
6376,feature 54,2
13330,feature 170,1
13330,feature 273,1
13330,feature 54,1
8036,feature 345,1
8036,feature 273,1
3895,feature 54,1
3895,feature 170,1
333,feature 68,1
333,feature 273,1
16024,feature 170,3
16024,feature 54,3
10696,feature 68,2
10696,feature 54,3
10696,feature 170,3
17505,feature 273,1
17505,feature 179,1
17505,feature 68,1
17505,feature 345,1
4045,feature 54,4
4045,feature 345,3
4045,feature 68,5
18399,feature 170,2
18399,feature 179,2
18399,feature 273,1
18399,feature 345,2
18399,feature 68,2
18399,feature 54,3
11874,feature 179,2
11874,feature 68,2
11874,feature 345,1
11874,feature 273,1
17062,feature 179,1
17062,feature 68,1
17062,feature 345,1
8042,feature 170,2
8042,feature 54,3
11725,feature 54,4
11725,feature 170,3
750,feature 170,2
750,feature 54,2
7315,feature 54,2
7315,feature 170,2
16339,feature 54,2
16339,feature 170,2
2212,feature 54,2
2212,feature 170,2
7545,feature 113,1
7545,feature 54,1
7545,feature 26,1
7545,feature 170,1
7545,feature 209,2
7545,feature 87,2
14767,feature 54,2
14767,feature 170,2
5282,feature 54,2
5282,feature 170,2
12389,feature 54,1
1380,feature 170,1
1380,feature 54,1
10409,feature 219,1
10409,feature 134,1
10658,feature 170,1
6144,feature 170,2
6144,feature 54,1
6144,feature 68,1
10370,feature 170,2
10370,feature 54,2
17852,feature 54,3
17852,feature 170,3
5032,feature 54,1
5032,feature 170,1
5370,feature 54,2
5370,feature 170,2
12273,feature 170,1
12273,feature 54,2
1998,feature 54,3
1998,feature 170,3
17379,feature 54,2
17379,feature 170,1
252,feature 54,1
14875,feature 54,2
14875,feature 170,1
6834,feature 54,2
6834,feature 170,1
9158,feature 54,2
9158,feature 170,2
8694,feature 170,2
8694,feature 54,3
7348,feature 54,3
7348,feature 170,1
12661,feature 54,5
12661,feature 20,1
12661,feature 103,3
12661,feature 170,5
7171,feature 170,4
7171,feature 103,3
7171,feature 54,5
4733,feature 103,4
4733,feature 54,5
4733,feature 170,3
1931,feature 170,3
1931,feature 103,3
1931,feature 54,4
14047,feature 54,2
14047,feature 170,1
611,feature 54,1
611,feature 68,1
611,feature 170,2
9354,feature 54,1
15287,feature 54,1
13403,feature 54,1
13403,feature 170,2
982,feature 54,1
8581,feature 54,1
7504,feature 170,1
7504,feature 54,1
17653,feature 182,1
17653,feature 62,1
2741,feature 182,1
2741,feature 155,3
10977,feature 219,1
10977,feature 134,1
8359,feature 170,1
8359,feature 68,1
8359,feature 54,1
7385,feature 170,2
8467,feature 280,1
8467,feature 54,1
8467,feature 170,1
11740,feature 68,1
9778,feature 170,1
9778,feature 54,1
15626,feature 170,2
15626,feature 54,2
3949,feature 54,1
3663,feature 280,1
17209,feature 54,1
17209,feature 170,1
400,feature 170,1
400,feature 54,2
4861,feature 170,1
805,feature 170,3
805,feature 86,1
805,feature 62,1
805,feature 54,2
805,feature 182,1
805,feature 207,1
11989,feature 170,4
11989,feature 54,4
748,feature 170,3
748,feature 54,3
10508,feature 155,3
10508,feature 207,1
10508,feature 170,1
10508,feature 182,1
5977,feature 170,1
5977,feature 54,1
2090,feature 54,1
5257,feature 54,2
5257,feature 170,2
8159,feature 54,3
8159,feature 170,3
1135,feature 54,2
1135,feature 170,2
6679,feature 87,1
6679,feature 54,2
6679,feature 170,1
6313,feature 54,1
1231,feature 54,1
1231,feature 170,2
1706,feature 280,1
1706,feature 87,1
16741,feature 80,1
4629,feature 71,1
4629,feature 193,1
3491,feature 201,2
3491,feature 80,3
9852,feature 80,2
9852,feature 201,2
10293,feature 80,4
10293,feature 201,3
9596,feature 80,1
9596,feature 201,2
5300,feature 80,4
5300,feature 201,4
15871,feature 80,3
15871,feature 201,2
1566,feature 71,2
1566,feature 193,2
4254,feature 193,1
4254,feature 71,1
4254,feature 201,1
4254,feature 80,1
2652,feature 201,2
2652,feature 80,2
484,feature 71,1
484,feature 80,3
484,feature 201,3
484,feature 193,1
1588,feature 80,1
1588,feature 201,2
10561,feature 80,1
10561,feature 201,1
7174,feature 201,1
7174,feature 80,2
12209,feature 80,2
12209,feature 201,1
17627,feature 193,2
17627,feature 71,2
3701,feature 134,1
3701,feature 219,1
15517,feature 80,2
15517,feature 193,2
15517,feature 201,1
15517,feature 71,2
16136,feature 76,2
16136,feature 198,3
16136,feature 193,2
16136,feature 80,2
16136,feature 71,2
16136,feature 201,2
9720,feature 201,2
9720,feature 80,2
